# field = c-trace, acq = alc, seed = 1
#   M     r     mean_error        max_std   next_lambda       next_std
    5     4   9.361774e-03   1.682348e+00      3.180025   1.630036e+00
    6     5   3.948571e-03   4.620557e+00     17.613103   4.277844e+00
    7     6   1.992843e-03   3.411458e-01      8.234246   3.411189e-01
    8     7   8.195718e-04   2.311860e-01     19.135541   2.323907e-01
    9     7   6.216482e-04   9.447832e-02      1.762811   9.474835e-02
   10     8   5.680514e-04   3.300373e-01     12.960389   3.306273e-01
   11     8   2.205103e-04   3.126051e-02      4.466599   3.137195e-02
   12     9   1.298557e-04   5.638938e-02     16.462732   5.644365e-02
   13     9   6.891664e-05   1.203552e-02     11.686251   1.206041e-02
   14     9   3.404028e-05   4.153904e-03      7.005919   4.163885e-03
   15     9   2.031833e-05   5.727228e-03     19.470879   5.725848e-03
   16     9   1.607855e-05   2.332297e-03      2.314615   2.364363e-03
   17     9   1.075337e-05   4.197739e-03     14.126861   4.207609e-03
   18     9   5.269427e-06   1.052926e-03      9.327474   1.053789e-03
   19     9   3.223716e-06   6.969787e-04     18.398290   7.078962e-04
   20     9   2.711863e-06   5.188129e-04      1.507627   5.168317e-04
   21    10   3.887222e-06   5.806177e-04      5.108514   5.902805e-04
   22    10   2.208145e-06   7.458026e-04     15.857397   7.462439e-04
   23    10   1.298042e-06   2.138783e-04     12.293121   2.172871e-04
   24    10   7.665816e-07   1.034550e-04      3.747014   1.046090e-04
   25    10   6.131067e-07   1.464814e-04      7.651923   1.478411e-04
   26    10   3.396466e-07   1.487854e-04     18.784907   1.544717e-04
   27    10   2.845418e-07   3.752196e-05      9.946559   3.757041e-05
   28    10   2.444916e-07   2.240627e-05     17.105110   2.304658e-05
   29    10   2.424293e-07   2.036491e-05     13.495293   1.868812e-05
   30    10   2.412647e-07   1.963736e-05           nan            nan
