# field = velocity, acq = alc, seed = 1
#   M     r     mean_error        max_std   next_lambda       next_std
    5     4   8.289139e-03   1.562440e-01      9.737783   4.923150e-02
    6     5   3.816822e-03   8.815763e-02     13.493077   2.675598e-02
    7     6   2.341402e-03   3.787022e-02      3.763376   2.703499e-02
    8     7   1.256884e-03   6.427106e-02     18.099009   6.124639e-02
    9     7   6.317457e-04   1.154788e-02      2.061396   1.143331e-02
   10     8   7.728012e-04   2.298200e-02     16.380161   1.590776e-02
   11     8   3.997418e-04   7.473370e-03      7.513574   7.485126e-03
   12     8   1.579777e-04   6.537670e-03     19.329607   6.655452e-03
   13     8   1.087410e-04   1.443924e-03      1.507627   1.443050e-03
   14     9   3.907858e-04   1.219425e-02     11.857438   1.173685e-02
   15     9   1.658058e-04   2.620493e-03      4.788677   2.619519e-03
   16    10   1.048788e-04   2.649460e-03     17.277243   2.655430e-03
   17    10   6.141046e-05   1.196316e-03      8.502467   1.196317e-03
   18    10   2.742011e-05   4.003455e-04     14.321790   3.792973e-04
   19    10   1.705260e-05   3.060616e-04      2.861123   3.088414e-04
   20    10   1.660879e-05   6.066518e-04     18.846846   6.102804e-04
   21    10   1.146241e-05   2.569666e-04      6.642436   2.593054e-04
   22    10   5.464904e-06   1.602279e-04     12.614100   1.626092e-04
   23    10   2.393711e-06   3.127383e-05      2.438641   2.561425e-05
   24    10   4.559366e-06   1.071126e-04     11.158614   1.071922e-04
   25    10   1.831964e-06   7.817960e-05           nan            nan
