# field = c-trace, acq = alc, seed = 1
#   M     r     mean_error        max_std   next_lambda     next_beta       next_std
   10     9   1.497239e-02   8.296018e+00      3.874966      0.423292   2.486805e+00
   11    10   9.205921e-03   7.346373e+00     18.575217      0.692967   4.492122e+00
   12    11   8.172265e-03   4.599071e+00      6.918024      0.282989   1.095680e+00
   13    12   8.235901e-03   3.071951e+00      2.643364      0.664738   7.487984e-01
   14    13   6.622349e-03   3.405057e+00     18.114256      0.609872   5.701783e-01
   15    14   6.224220e-03   1.844909e+00      5.470385      0.780406   1.187689e+00
   16    15   5.556026e-03   1.794604e+00     14.546579      0.540790   1.474201e-01
   17    16   4.327222e-03   1.150369e+00      2.538087      0.332386   5.233067e-01
   18    17   4.236390e-03   1.157317e+00      6.393793      0.801558   1.883947e-01
   19    18   3.795820e-03   1.163422e+00     14.106549      0.250880   8.103655e-01
   20    19   4.160282e-03   1.695183e+00     12.809144      0.525601   2.607542e-01
   21    19   3.746708e-03   1.254231e+00     16.728077      0.639467   1.931215e-01
   22    20   3.441372e-03   9.812429e-01     10.463195      0.642477   3.002370e-01
   23    21   2.998992e-03   7.746967e-01      2.024750      0.608287   2.929110e-01
   24    22   2.332517e-03   8.699474e-01     18.295973      0.771600   2.925809e-01
   25    23   2.284263e-03   6.534012e-01     12.341982      0.384833   2.110260e-01
   26    24   1.988904e-03   7.281002e-01      7.199967      0.828243   8.770265e-02
   27    24   1.825623e-03   7.122204e-01     18.095294      0.404716   1.401158e-01
   28    25   1.619809e-03   6.314072e-01     11.950786      0.675809   4.932985e-02
   29    25   1.473353e-03   6.807787e-01     18.070041      0.398216   1.331028e-02
   30    25   1.482388e-03   9.831494e-01      2.857831      0.727136   2.031117e-02
   31    26   1.438265e-03   7.660664e-01      2.547014      0.290990   1.975627e-01
   32    26   1.435382e-03   5.749354e-01     11.434857      0.450584   6.174041e-02
   33    26   1.138282e-03   4.545100e-01     18.481135      0.314875   1.062787e-01
   34    27   1.063611e-03   4.610870e-01     14.819440      0.848603   3.088964e-01
   35    27   9.966203e-04   4.491027e-01      9.677878      0.359106   8.985759e-02
   36    28   9.765501e-04   4.079957e-01      2.400730      0.767578   2.366506e-02
   37    28   8.300429e-04   4.643256e-01      3.804797      0.461915   3.473091e-02
   38    29   6.261359e-04   4.766308e-01     13.606597      0.657800   4.505470e-03
   39    29   6.300582e-04   3.018863e-01     16.225886      0.559255   4.913759e-03
   40    29   6.111945e-04   2.520646e-01     16.220455      0.279521   1.107618e-01
   41    30   6.193609e-04   2.378623e-01     12.947770      0.724503   3.229927e-02
   42    30   6.154741e-04   2.335696e-01      4.027683      0.811366   4.554273e-02
   43    30   6.321796e-04   2.334293e-01      1.612032      0.375261   1.164239e-01
   44    31   6.328268e-04   2.277124e-01      7.467110      0.417879   5.697694e-03
   45    31   5.533904e-04   3.432091e-01     10.254414      0.787258   8.067829e-02
   46    31   5.300872e-04   3.269957e-01     18.534293      0.781422   1.779452e-02
   47    31   5.273923e-04   1.877965e-01     15.749401      0.353981   4.464876e-02
   48    31   5.234713e-04   1.759887e-01     12.693126      0.657711   4.722027e-04
   49    31   4.622079e-04   1.224512e-01      4.009204      0.416608   2.839205e-03
   50    31   3.879090e-04   1.410254e-01      4.930680      0.775286   4.144679e-03
   51    31   3.666340e-04   1.447670e-01      4.702215      0.513757   5.369066e-03
   52    31   3.276419e-04   1.520625e-01      6.326765      0.725137   1.866379e-02
   53    32   2.841302e-04   1.582608e-01     18.336830      0.326527   5.264229e-03
   54    32   2.829698e-04   1.681212e-01     18.076036      0.829838   9.791519e-02
   55    32   2.806802e-04   1.082135e-01     19.071048      0.536828   4.820484e-02
   56    32   2.779167e-04   1.120626e-01      3.771017      0.792288   4.759322e-03
   57    32   2.464361e-04   9.422104e-02     14.746983      0.372339   9.500880e-03
   58    32   2.353806e-04   7.271065e-02      1.997057      0.286060   2.592938e-02
   59    33   2.169647e-04   9.216741e-02     13.141654      0.251956   2.354671e-02
   60    33   2.039225e-04   1.797876e-01           nan           nan            nan
