# field = c-trace, acq = lhs, seed = 1
#   M     r     mean_error        max_std   next_lambda     next_beta       next_std
   10     9   1.497239e-02   8.296018e+00      2.043745      0.598658   5.298401e+00
   11    10   7.880635e-03   8.002756e+00      2.535184      0.694632   2.434873e-01
   12    11   1.207816e-02   1.201431e+01      3.552919      0.413077   5.163700e-01
   13    12   1.006843e-02   9.373027e+00     11.991425      0.785060   4.630944e-01
   14    13   6.845943e-03   7.035222e+00     13.169342      0.657704   2.886032e-02
   15    14   6.352477e-03   5.099460e+00     17.408004      0.639586   1.726611e+00
   16    15   5.537752e-03   4.680400e+00     13.967000      0.552626   1.951061e-01
   17    15   4.839761e-03   3.986707e+00      4.274679      0.340751   2.267671e-01
   18    16   4.162040e-03   3.077102e+00     15.115301      0.401325   4.356355e-01
   19    17   4.308133e-03   4.009689e+00     14.731031      0.462984   2.990881e-02
   20    18   4.436861e-03   2.858855e+00      7.347950      0.366815   1.583667e-01
   21    19   4.291197e-03   5.559544e+00     14.270467      0.466361   4.214362e-02
   22    20   4.652568e-03   3.267553e+00      5.834715      0.769281   1.328387e+00
   23    20   3.010159e-03   3.239911e+00      8.860411      0.750665   3.349270e-01
   24    21   2.871935e-03   2.932555e+00      2.888586      0.442503   1.088251e-01
   25    22   3.002734e-03   3.606095e+00     19.289965      0.512716   1.251276e+00
   26    23   1.988868e-03   2.748221e+00     17.095397      0.816634   3.161239e-01
   27    24   2.485481e-03   1.658817e+00     12.427901      0.754978   1.167382e-02
   28    24   2.441936e-03   1.712012e+00     10.477975      0.675682   5.813664e-02
   29    24   2.270262e-03   1.712707e+00     18.951022      0.741244   6.908771e-01
   30    25   1.658025e-03   9.909346e-01     18.166971      0.527868   3.924218e-02
   31    25   1.602812e-03   9.119624e-01      4.889221      0.846818   3.290474e-01
   32    26   1.638348e-03   8.149926e-01      9.471753      0.424037   2.971054e-02
   33    27   1.752583e-03   7.279682e-01     11.386609      0.253200   8.835866e-02
   34    28   3.285227e-03   1.707429e+00     10.079721      0.324366   1.708782e-01
   35    28   2.148630e-03   1.038577e+00      5.216085      0.588624   3.380243e-02
   36    28   1.784244e-03   9.854008e-01      3.955444      0.264603   5.300254e-02
   37    29   1.446767e-03   1.109581e+00     12.938750      0.525122   1.338864e-02
   38    29   1.175163e-03   1.106304e+00      6.591614      0.383836   1.515500e-02
   39    29   1.317855e-03   7.370180e-01      9.099253      0.712344   1.201951e-02
   40    29   1.223143e-03   7.278346e-01     10.753056      0.621967   1.142557e-02
   41    30   1.183719e-03   6.261251e-01      4.510927      0.721363   4.408987e-02
   42    30   1.161275e-03   6.294642e-01     11.629270      0.378791   1.485796e-02
   43    30   1.244531e-03   8.283986e-01     15.804788      0.350516   7.419569e-02
   44    30   1.126131e-03   8.767807e-01      5.531658      0.826386   2.461571e-02
   45    30   1.067079e-03   8.729093e-01     15.468706      0.280437   1.612776e-01
   46    31   1.056856e-03   8.320621e-01     13.404658      0.688946   3.481202e-03
   47    31   1.112523e-03   8.567363e-01      3.093816      0.501818   2.874454e-02
   48    31   1.157890e-03   1.079171e+00     17.796098      0.311179   1.494390e-01
   49    32   1.125179e-03   1.091010e+00     10.913756      0.431521   3.246328e-03
   50    32   1.137205e-03   1.295474e+00      1.631044      0.547143   5.689293e-02
   51    32   1.124880e-03   1.386094e+00     16.324629      0.487579   5.697762e-03
   52    32   1.048336e-03   1.492011e+00      8.037533      0.573324   5.207284e-02
   53    32   7.555961e-04   1.201416e+00      8.398941      0.799989   2.767907e-02
   54    32   7.079217e-04   1.166586e+00     18.621946      0.630247   8.337143e-02
   55    32   7.140153e-04   1.146177e+00     15.993034      0.811814   1.027838e-01
   56    32   7.058412e-04   1.114932e+00      7.834519      0.669958   6.202496e-03
   57    32   7.551899e-04   1.076566e+00     16.865785      0.305156   2.094569e-02
   58    32   7.493230e-04   1.011840e+00      7.220189      0.290620   1.044850e-01
   59    33   6.074551e-04   6.589897e-01      6.402896      0.577371   3.574884e-03
   60    33   3.398992e-04   8.258784e-01           nan           nan            nan
