# field = velocity, acq = alc, seed = 0
#   M     r     mean_error        max_std   next_lambda     next_beta       next_std
   10     9   5.067917e-03   1.057503e-01     18.673856      0.545124   7.022938e-02
   11    10   3.639844e-03   7.809709e-02      3.632244      0.548064   2.318286e-02
   12    11   3.407866e-03   8.871142e-02      3.915439      0.284259   3.270557e-03
   13    12   2.477325e-03   1.243832e-01     17.462137      0.775484   1.881699e-02
   14    13   2.297660e-03   5.577197e-02     12.508566      0.849586   2.742998e-02
   15    14   2.012217e-03   4.990318e-02     14.622490      0.253592   4.038539e-02
   16    15   1.718011e-03   4.410103e-02      2.160845      0.634218   1.985373e-02
   17    16   1.809268e-03   4.106505e-02     10.165720      0.390537   1.591238e-02
   18    17   1.521183e-03   2.987720e-02      6.398262      0.741540   1.625381e-02
   19    18   1.496907e-03   2.573119e-02     12.432073      0.670067   2.719325e-03
   20    19   1.104351e-03   2.616673e-02     10.906077      0.396221   2.044306e-03
   21    20   1.052901e-03   1.700157e-02     14.593066      0.592306   6.766179e-04
   22    21   9.498245e-04   2.016172e-02      3.363507      0.633783   3.001011e-03
   23    22   8.776317e-04   1.887811e-02     11.747800      0.613359   3.014636e-03
   24    23   6.855237e-04   1.627998e-02     17.723376      0.791453   1.553422e-03
   25    24   6.545964e-04   1.291480e-02      2.642995      0.299907   4.791776e-03
   26    25   5.915312e-04   1.391565e-02     15.974936      0.758264   5.245498e-04
   27    26   4.856147e-04   1.101120e-02      4.478725      0.821076   9.252559e-03
   28    27   4.553926e-04   8.303244e-03     17.954653      0.264699   9.575206e-03
   29    28   4.506240e-04   7.950148e-03      3.548971      0.518186   3.192709e-04
   30    29   4.132361e-04   8.365468e-03     12.270286      0.398840   8.787740e-04
   31    30   3.625541e-04   8.464711e-03     18.518001      0.353008   7.322158e-04
   32    31   3.424161e-04   6.742199e-03      4.676595      0.534359   4.727330e-04
   33    32   3.174345e-04   8.329559e-03     19.286251      0.757551   5.540697e-03
   34    32   2.893350e-04   5.508610e-03     15.545586      0.465786   6.330824e-04
   35    33   2.619960e-04   4.651759e-03      3.116764      0.658522   1.133391e-04
   36    34   2.584177e-04   4.677657e-03      6.985850      0.276184   2.024158e-03
   37    35   2.290577e-04   4.592377e-03     15.665308      0.800741   9.916998e-04
   38    36   2.083385e-04   3.001113e-03      2.368967      0.759329   4.914516e-04
   39    36   1.847136e-04   3.359832e-03      4.834294      0.462808   3.469913e-04
   40    37   1.671897e-04   2.830380e-03     15.447565      0.590818   2.482248e-04
   41    38   1.576051e-04   2.805546e-03      8.304070      0.818229   1.053698e-03
   42    38   1.488059e-04   2.544215e-03     19.061925      0.511980   7.706081e-04
   43    39   1.430268e-04   2.273182e-03      8.477673      0.620712   8.057546e-04
   44    40   1.150201e-04   2.572683e-03     15.870262      0.254122   1.130328e-03
   45    40   1.104424e-04   2.094706e-03     10.580655      0.477558   4.036898e-04
   46    41   1.037487e-04   1.930767e-03      1.589943      0.411904   1.642077e-03
   47    42   1.108720e-04   3.235138e-03      8.842207      0.775409   9.176442e-04
   48    42   1.039957e-04   3.189151e-03      4.783651      0.353741   5.074895e-04
   49    43   1.001340e-04   3.113589e-03     19.267934      0.642834   1.486867e-03
   50    44   9.557069e-05   2.458944e-03      2.491223      0.809966   8.219796e-04
   51    45   9.461115e-05   2.443782e-03     14.029192      0.290157   5.776766e-04
   52    46   7.670838e-05   2.648135e-03      8.871458      0.571762   2.179927e-04
   53    47   7.180079e-05   2.510941e-03      2.531362      0.281286   5.109493e-04
   54    48   7.026186e-05   2.617475e-03     18.951165      0.820652   1.021746e-03
   55    48   6.452759e-05   1.152972e-03     19.170542      0.308920   9.978246e-04
   56    49   6.239780e-05   6.430974e-04      1.578351      0.301071   1.251295e-03
   57    50   6.666073e-05   8.308525e-04      9.352888      0.648789   2.557058e-04
   58    50   5.541892e-05   8.466362e-04     16.793806      0.253937   3.235937e-04
   59    51   4.965292e-05   8.096188e-04      1.987718      0.776503   2.411413e-04
   60    50   4.932416e-05   6.885779e-04           nan           nan            nan
