# field = velocity, acq = var, seed = 0
#   M     r     mean_error        max_std   next_lambda     next_beta       next_std
   10     9   5.067917e-03   1.057503e-01     19.974888      0.899575   1.493302e-01
   11    10   5.044828e-03   9.961702e-02      1.079539      0.897650   1.632937e-01
   12    11   4.898714e-03   8.878685e-02     19.819563      0.200646   1.139779e-01
   13    12   4.945894e-03   7.270994e-02      1.003934      0.430006   9.098408e-02
   14    13   6.705709e-03   9.765929e-02     19.992534      0.592555   1.392499e-01
   15    14   4.735471e-03   6.725295e-02      1.054692      0.203530   1.495512e-01
   16    15   4.568942e-03   6.369803e-02      4.854021      0.899814   8.465345e-02
   17    16   4.177639e-03   5.497055e-02     16.407331      0.202789   7.734844e-02
   18    17   3.666074e-03   4.236083e-02     14.576168      0.898849   7.409333e-02
   19    18   3.372032e-03   2.297464e-02      6.705473      0.200500   3.745484e-02
   20    19   2.573070e-03   3.963163e-02      7.814454      0.733479   3.969294e-02
   21    20   2.360093e-03   2.584691e-02     17.990800      0.897401   3.291513e-02
   22    21   1.899275e-03   2.937912e-02      1.012812      0.668636   3.165682e-02
   23    22   1.921022e-03   2.645737e-02     13.388460      0.348797   2.655375e-02
   24    23   1.711198e-03   1.406348e-02     19.984185      0.356123   2.008431e-02
   25    24   1.558400e-03   1.207412e-02      3.334722      0.202566   1.523778e-02
   26    25   1.374960e-03   1.331143e-02     13.497139      0.200953   1.682216e-02
   27    26   1.315133e-03   1.109941e-02     19.964197      0.785546   1.266570e-02
   28    27   1.267732e-03   1.036847e-02      7.555127      0.898744   1.154028e-02
   29    28   1.340784e-03   1.064876e-02      2.397387      0.507675   1.086276e-02
   30    29   1.294146e-03   1.391207e-02     10.527797      0.533684   1.393188e-02
   31    30   7.704662e-04   1.050397e-02      2.629887      0.898013   1.162594e-02
   32    31   7.455146e-04   1.034875e-02     18.617962      0.649482   1.044611e-02
   33    32   7.223754e-04   7.301123e-03      1.935317      0.293735   8.065213e-03
   34    33   7.468038e-04   1.007014e-02     18.229531      0.204827   1.077886e-02
   35    34   7.319639e-04   5.413602e-03     12.632365      0.899590   6.761740e-03
   36    35   6.947396e-04   5.333953e-03     10.133395      0.340068   5.380305e-03
   37    36   6.585481e-04   3.856147e-03      8.990274      0.200444   4.798181e-03
   38    37   5.762426e-04   5.069280e-03     11.308618      0.759714   5.078683e-03
   39    38   5.291630e-04   4.570107e-03     14.228858      0.799336   4.603776e-03
   40    38   5.528651e-04   3.970489e-03      5.768238      0.802864   4.139132e-03
   41    39   5.119589e-04   3.100187e-03      1.036715      0.814215   3.396884e-03
   42    40   5.050276e-04   3.106507e-03     15.751023      0.292926   3.170504e-03
   43    41   4.399728e-04   2.703950e-03     19.008186      0.838736   2.769698e-03
   44    42   3.975007e-04   2.385492e-03      6.932110      0.285948   2.466341e-03
   45    43   3.988671e-04   2.465618e-03     17.250603      0.471095   2.489382e-03
   46    44   3.687566e-04   2.237759e-03      1.008225      0.280908   2.239245e-03
   47    45   4.002811e-04   2.466079e-03     19.380204      0.478176   2.450220e-03
   48    46   3.733139e-04   1.972992e-03      6.747937      0.632767   2.012563e-03
   49    47   3.291689e-04   2.015501e-03      4.123468      0.689900   2.049531e-03
   50    48   2.789603e-04   1.788908e-03     13.228092      0.482022   1.804261e-03
   51    48   2.440923e-04   1.210641e-03      5.165215      0.202007   1.386555e-03
   52    49   2.430943e-04   1.605665e-03     19.320549      0.253851   1.883334e-03
   53    50   2.722555e-04   1.640386e-03      1.671766      0.884507   1.886021e-03
   54    51   2.521050e-04   1.224522e-03     15.958067      0.899391   1.706975e-03
   55    51   2.394148e-04   1.249904e-03     19.127971      0.896565   1.359218e-03
   56    51   2.327834e-04   1.189875e-03     11.666245      0.406036   1.203065e-03
   57    51   2.155303e-04   1.266267e-03      3.939964      0.832254   1.272241e-03
   58    52   2.141066e-04   1.041524e-03      1.722215      0.205496   1.189264e-03
   59    53   2.398216e-04   1.451380e-03     15.015948      0.200253   2.028827e-03
   60    54   2.280599e-04   1.443829e-03           nan           nan            nan
