param1 param2 velocity_relative_error second_field_relative_error
1.568816240149787378e+00 3.527639304631873807e-01 4.291012755781403146e-04 3.379991292653107635e-03
1.622435535097935366e+00 7.099168590786847366e-01 2.296443692687743436e-04 2.805661895703000144e-03
1.673419215888384048e+00 4.718252201902732867e-01 2.760963647746539308e-04 2.369555580090401681e-03
1.797501297292879219e+00 3.925862147667490976e-01 1.703811899146949124e-04 1.145245139246536424e-03
1.831312166407089492e+00 5.894092133878665596e-01 1.093179697156235794e-04 8.459656502321294879e-04
1.917046049799828955e+00 4.509465887468782075e-01 5.791883051733036722e-05 4.254178043890820184e-04
2.003586769709893467e+00 4.282006780735396201e-01 6.504060250250115835e-06 1.528368913985879440e-04
2.074878369226717201e+00 3.085810976846737885e-01 5.037670355276418398e-05 2.211287559974328286e-04
2.201847252075929351e+00 7.356103578388176745e-01 5.974652208518592883e-05 7.288633877009366262e-04
2.252049376678332493e+00 7.195156971018865644e-01 6.824640355779408520e-05 6.583751595063043211e-04
2.305054947957297706e+00 5.781409148024585498e-01 9.377357660491310635e-05 8.351450837661550646e-04
2.433611103013377353e+00 2.430449734212777879e-01 1.276141572141315937e-04 1.034351508407852904e-03
2.486527763056762375e+00 3.866609976951552174e-01 1.112074763255927324e-04 7.759543086936200682e-04
2.557729320234098935e+00 3.448791374326806158e-01 1.059635827453167929e-04 5.707928089507410081e-04
2.691727762582195815e+00 4.661101946231027138e-01 6.820852286701192975e-05 4.168206582521638602e-04
2.734781111481504823e+00 4.940155083408631076e-01 5.716664105029912844e-05 3.152882175316995702e-04
2.851380724323528071e+00 6.681131135304954061e-01 2.425451517160352253e-05 1.286750852802162354e-04
2.915523470067947542e+00 4.442716971467242093e-01 1.893733965441061023e-05 1.443585305778883221e-04
2.948736600729717772e+00 4.565778395302055870e-01 1.229639505908163840e-05 7.818489888296856942e-05
3.023315262940684534e+00 1.383791849103168103e-01 2.068517735726428208e-04 2.339324931924360428e-03
3.145027846490213719e+00 1.212214491687778062e-01 2.412668501373274686e-04 2.608341057870334524e-03
3.198239005431120940e+00 8.159698727788753381e-01 1.932168477029582587e-05 2.172107994805516553e-04
3.322833226174437549e+00 2.557177409008101199e-01 5.336103307217396623e-05 3.504417136422545583e-04
3.384526864093813536e+00 2.862411573309711077e-01 4.682501563739600701e-05 2.761691518520174968e-04
3.485858177364861810e+00 2.670467157261255942e-01 5.002648351359362966e-05 2.663967176401492529e-04
3.567656840634596094e+00 3.194137426413299896e-01 4.258858275904449782e-05 3.475854502362121638e-04
3.625432556817991703e+00 7.286206454628721962e-01 2.391174897578947833e-05 1.616693205352971437e-04
3.710107381690103345e+00 2.288103933231508957e-01 6.228013730474247947e-05 7.328381226979556158e-04
3.809606279573162446e+00 6.202273540385506712e-01 1.593012703770718176e-05 9.616610577226318167e-05
3.839318437613183033e+00 6.403479204215581921e-01 1.345982820601350965e-05 9.632138618733103051e-05
3.953474480212595843e+00 6.490990914619577667e-01 6.288347021171045384e-06 7.748414787679742846e-05
4.038730403083238940e+00 6.604250124453615589e-01 6.766894426915537016e-06 9.765009138036489253e-05
4.109001729677585146e+00 1.762952048413091999e-01 6.774260248305311472e-05 8.656813712512710255e-04
4.196726572948790590e+00 5.396400829566084800e-01 1.521320598896272706e-05 7.455118562652445792e-05
4.237381181819976916e+00 7.763960710005661792e-01 2.088844569420897715e-05 2.180332173442045009e-04
4.333272162486981216e+00 7.868561198086498898e-01 2.148373315689810418e-05 2.040636858802915416e-04
4.450179365407080923e+00 3.256328774934881265e-01 3.218762648857393120e-05 3.861538559600800782e-04
4.504307497954076922e+00 2.924185450494957150e-01 2.975354048173516744e-05 2.827944203815990548e-04
4.596512499378665240e+00 4.363680094424937095e-01 2.172821210405718027e-05 1.428978722557879542e-04
4.692465812168988393e+00 1.639779568330516912e-01 1.777562399403489720e-04 2.511029465223795810e-03
4.778183034149291686e+00 6.011426506163377592e-01 1.403160086305634876e-05 1.313209043108982011e-04
4.824051079828496569e+00 3.662126365985303167e-01 1.251051196489827304e-05 5.309533278059726030e-05
4.877699927682736636e+00 6.914667016191392568e-01 9.530897028714581880e-06 1.500983830987631196e-04
4.966854916773809414e+00 2.995333759114874872e-01 2.078358573237452987e-05 4.161665660526380167e-04
5.033789506240593070e+00 8.234888498864089135e-01 1.475703526930614169e-05 1.678234943586826206e-04
5.175335780664874541e+00 6.581458975882394924e-01 1.089040939243423497e-05 1.294347337119328384e-04
5.257534573234565300e+00 8.468119630586037339e-01 4.897335058906787490e-05 5.239464709705456179e-04
5.319522792754591833e+00 3.978668819386426136e-01 1.974648383966550710e-05 2.873830802029209608e-04
5.383286737956932910e+00 6.122481892695438299e-01 1.543933836490308828e-05 1.336223640926652127e-04
5.487815031782946384e+00 6.040168612619325472e-01 1.665191556378545830e-05 1.671707259502906446e-04
5.570559527830358348e+00 5.217781470487885542e-01 1.692668489027216789e-05 1.432204895116597236e-04
5.615633217038733527e+00 5.867341340304395025e-01 1.631228869634226584e-05 1.950009402540912439e-04
5.681840430857049817e+00 8.370888733090010581e-01 3.765939940898489622e-05 4.488380388137883526e-04
5.762211251952283675e+00 5.327282962191648430e-01 1.181611422307621334e-05 8.521693500584400860e-05
5.863537896813311612e+00 1.477227474369947890e-01 3.824447868170287529e-04 7.063360871683055896e-03
5.950336158061393377e+00 6.826346155814051464e-01 1.047716129960318713e-05 2.203906073882596381e-04
6.013515108823968447e+00 3.145678504268957232e-01 2.945175981839405111e-05 7.194799402096786409e-04
6.088490790393547236e+00 1.869938402231229035e-01 1.676266415528700370e-05 2.363739246195239660e-04
6.216670866091048353e+00 5.105938670195150353e-01 1.275953592245228261e-05 2.329002223683772886e-04
6.273933971348947480e+00 5.698956441459454014e-01 1.333609583701648509e-05 1.699748531462986795e-04
6.344887083175596132e+00 1.636422318168735957e-01 2.309726785966578939e-04 4.471874202225643163e-03
6.382344158048407934e+00 3.324802158143478903e-01 3.006864120959571856e-05 6.582699258034257388e-04
6.480256831092078507e+00 7.531840382337630091e-01 2.016275249905394166e-05 3.045001160307320349e-04
6.559352980793169863e+00 5.627119604326519253e-01 1.579645461523609062e-05 1.406979224915370821e-04
6.643978791839820097e+00 4.827197235179110923e-01 1.639888025530650975e-05 2.474005362096339824e-04
6.761582880728409073e+00 4.117268883399138879e-01 1.817399351061900272e-05 4.225641780768131170e-04
6.793616820549407187e+00 7.637997642539305909e-01 2.140291680895441012e-05 3.924892385702429226e-04
6.915879032868169851e+00 6.263989370702320869e-01 5.852107613843229591e-06 6.114115042899802353e-05
7.007098257677312425e+00 5.032423731417454693e-01 9.331907440851209938e-06 2.929185347204687258e-04
7.033896646064452085e+00 6.755580263655697193e-01 1.066874376305687705e-05 2.784364147396275308e-04
7.142662319701837959e+00 4.189802325097531921e-01 1.636495108804011256e-05 4.208517548677705319e-04
7.215437427812697813e+00 6.982775430735231881e-01 1.320528712498784106e-05 2.310237431982133799e-04
7.305192235199756468e+00 2.441556583823923932e-01 8.511040740422811377e-05 1.958479636885644432e-03
7.408780072880110978e+00 1.305555361521648916e-01 5.983168002713174166e-04 1.310567460055104584e-02
7.492288723027720643e+00 1.499110025052300121e-01 3.766184870260410830e-04 9.903864195185241304e-03
7.571313940709164747e+00 4.216926473208094106e-01 2.416794458860223942e-05 4.290706612268506545e-04
7.646352562517049201e+00 3.760466231358494116e-01 2.074236661514820148e-05 2.045167649019998034e-04
7.724007343801990721e+00 7.477462554308176301e-01 1.835860333269291752e-05 3.267971559228575605e-04
7.775263427140366446e+00 6.360811642841428526e-01 1.296759456476390632e-05 4.243211794142226332e-05
7.862120847915443633e+00 5.487510776594292095e-01 9.986704347422582431e-06 5.101499501941283467e-05
7.941067333532947359e+00 3.573178389412121070e-01 1.107427574135735895e-05 2.507762563979452734e-04
7.984973883602001443e+00 2.764263852176546132e-01 7.095413119219040726e-06 8.121151768178564172e-05
8.098491331169084262e+00 8.330937179216352240e-01 3.285684072086195824e-05 6.260595557577700900e-04
8.151727754138546445e+00 3.737922417531829855e-01 1.430393682890286654e-05 1.775881623036940115e-04
8.239108823840771478e+00 1.799617305714782123e-01 7.877098300730464478e-05 1.886317062858052082e-03
8.369750909385956561e+00 8.102121826533623672e-01 2.142238677114854126e-05 8.625974044014481415e-05
8.434628888574183136e+00 4.853438344159908824e-01 3.181584230729637324e-05 3.268151936744346110e-04
8.485400359682001792e+00 7.978798068696519863e-01 2.996925539305850183e-05 3.347329393759683621e-04
8.560419027527373714e+00 2.078371789532303116e-01 1.178514125947198443e-04 2.588563717156832939e-03
8.649222534399953588e+00 8.021588703751966198e-01 2.882699368569067845e-05 2.655602000396344595e-04
8.707313544743390921e+00 7.791921379231815381e-01 3.436615331198875116e-05 5.562178886546129131e-04
8.788665818699605836e+00 5.160351614579642421e-01 2.645075292317298582e-05 2.961716831776038650e-04
8.911054991155729965e+00 5.573601555889924342e-01 1.307789664286829270e-05 1.591824280884183193e-04
9.007737254670040272e+00 2.208913413504484946e-01 1.318712699670019446e-04 3.329618711076354817e-03
9.086831374593437261e+00 7.620721524784359602e-01 2.355881809127817255e-05 5.059519962299353869e-04
9.132726760681487477e+00 2.001335317414832116e-01 7.571701560420737286e-05 1.906586455467623731e-03
9.253244454308809708e+00 2.337646059641544927e-01 1.214596060139278320e-04 3.174217400809941671e-03
9.295611802448682681e+00 7.158922673278040882e-01 5.157745098872193728e-05 2.593938973823318160e-04
9.358083516115524247e+00 2.627961873898099765e-01 7.359616113208119342e-05 1.105678255277298128e-03
9.484285226742834141e+00 2.053346371878292942e-01 1.240655594629080471e-04 2.572534941567242162e-03
1.000000000000000000e+00 1.000000000000000056e-01 2.128544070423305583e-06 1.076280852117604249e-04
2.000000000000000000e+00 1.000000000000000056e-01 4.661356144955663341e-06 9.873330832730390597e-05
