param1 param2 velocity_relative_error second_field_relative_error
1.000000000000000000e+00 1.000000000000000056e-01 2.128544070423305583e-06 1.076280852117604249e-04
2.000000000000000000e+00 1.000000000000000056e-01 4.661356144955663341e-06 9.873330832730390597e-05
3.000000000000000000e+00 1.000000000000000056e-01 1.227479381862186026e-05 1.021362307740193189e-04
4.000000000000000000e+00 1.000000000000000056e-01 1.371286344901466670e-05 1.255247458917010917e-04
5.000000000000000000e+00 1.000000000000000056e-01 1.150557888707792425e-05 1.228047581858155205e-04
6.000000000000000000e+00 1.000000000000000056e-01 1.056658693061227819e-05 7.347918927045676222e-05
7.000000000000000000e+00 1.000000000000000056e-01 6.314741084673593031e-06 8.365781000691351467e-05
8.000000000000000000e+00 1.000000000000000056e-01 5.581928065665342187e-06 2.200527083874716133e-05
9.000000000000000000e+00 1.000000000000000056e-01 8.954194493400029095e-06 7.522109880577409948e-05
1.000000000000000000e+01 1.000000000000000056e-01 6.596000332892939562e-06 4.045217717912115185e-05
1.000000000000000000e+00 1.888888888888889117e-01 9.171161914562909380e-06 2.150662185881677796e-04
2.000000000000000000e+00 1.888888888888889117e-01 8.775108874465369917e-06 1.311653477036843214e-04
3.000000000000000000e+00 1.888888888888889117e-01 1.374767843479635244e-05 8.773164032478595567e-05
4.000000000000000000e+00 1.888888888888889117e-01 5.354151716317754346e-06 6.341008981111387257e-05
5.000000000000000000e+00 1.888888888888889117e-01 8.905208247471982686e-06 4.168288410039829673e-05
6.000000000000000000e+00 1.888888888888889117e-01 7.973746555387218563e-06 2.547920941845366915e-05
7.000000000000000000e+00 1.888888888888889117e-01 4.387453533762553932e-06 3.304084948023107356e-05
8.000000000000000000e+00 1.888888888888889117e-01 6.769784345847012016e-06 3.360230845458371464e-05
9.000000000000000000e+00 1.888888888888889117e-01 5.970760491768201720e-06 1.502434864020386699e-05
1.000000000000000000e+01 1.888888888888889117e-01 7.458977406542577607e-06 3.353755692723480586e-05
1.000000000000000000e+00 2.777777777777777901e-01 8.976449304502196792e-06 1.178785750308153346e-04
2.000000000000000000e+00 2.777777777777777901e-01 1.066544814982685964e-05 8.988241735589731004e-05
3.000000000000000000e+00 2.777777777777777901e-01 5.854709069343036278e-06 7.446683057318371785e-05
4.000000000000000000e+00 2.777777777777777901e-01 6.287099751272448955e-06 5.521342976241019006e-05
5.000000000000000000e+00 2.777777777777777901e-01 5.803280308922889110e-06 3.216598266565642779e-05
6.000000000000000000e+00 2.777777777777777901e-01 4.170264940741623080e-06 2.384073794092770972e-05
7.000000000000000000e+00 2.777777777777777901e-01 5.715380247718780697e-06 2.516391159118649460e-05
