param1 param2 velocity_relative_error second_field_relative_error
1.000000000000000000e+00 1.000000000000000056e-01 8.601703464461383022e-03 9.109047522547522591e-02
1.000000000000000000e+00 1.000000000000000056e-01 4.857682782211661214e-03 7.724786097849839495e-02
1.000000000000000000e+00 1.000000000000000056e-01 1.284237398793297916e-02 6.910334990792772747e-02
1.000000000000000000e+00 1.000000000000000056e-01 9.322352450554965628e-03 4.359731114121070256e-02
1.000000000000000000e+00 1.000000000000000056e-01 1.121110319590542387e-02 4.906955977423275300e-02
1.000000000000000000e+00 1.000000000000000056e-01 6.343825536627009654e-02 1.114918250672425615e-01
1.000000000000000000e+00 1.000000000000000056e-01 1.063312114651958698e-02 5.263401069556695316e-02
1.000000000000000000e+00 1.000000000000000056e-01 1.047723472623435063e-02 5.325061523610149367e-02
1.000000000000000000e+00 1.000000000000000056e-01 1.050407883183478337e-02 5.325522368624920067e-02
1.000000000000000000e+00 1.000000000000000056e-01 6.077125391599988435e-02 1.086399022982398460e-01
2.000000000000000000e+00 1.000000000000000056e-01 8.925133433530470228e-03 9.109046856016617122e-02
2.000000000000000000e+00 1.000000000000000056e-01 3.722822893916766761e-03 7.744871238511755185e-02
2.000000000000000000e+00 1.000000000000000056e-01 8.484311597838998381e-03 4.696557368290389667e-02
2.000000000000000000e+00 1.000000000000000056e-01 1.170031178840848750e-02 5.830748010305344953e-02
2.000000000000000000e+00 1.000000000000000056e-01 1.082049229819596718e-02 6.172649314110478097e-02
2.000000000000000000e+00 1.000000000000000056e-01 1.236334715890526417e-02 5.801954098685998401e-02
2.000000000000000000e+00 1.000000000000000056e-01 9.758605450689012209e-03 6.270547459187417183e-02
2.000000000000000000e+00 1.000000000000000056e-01 8.324665072629557072e-03 6.671384058283434670e-02
2.000000000000000000e+00 1.000000000000000056e-01 8.649973192728352411e-03 6.655624727901927884e-02
2.000000000000000000e+00 1.000000000000000056e-01 8.644465929627797099e-03 6.654814047864933413e-02
3.000000000000000000e+00 1.000000000000000056e-01 9.072700073877833921e-03 9.109049644853711714e-02
3.000000000000000000e+00 1.000000000000000056e-01 9.807910336533099543e-03 8.486272151144584608e-02
3.000000000000000000e+00 1.000000000000000056e-01 1.424935928987660499e-02 4.977553851169753268e-02
3.000000000000000000e+00 1.000000000000000056e-01 1.242336983365265393e-02 7.220832587424724780e-02
3.000000000000000000e+00 1.000000000000000056e-01 3.202868678127165913e-02 7.940547074193939070e-02
3.000000000000000000e+00 1.000000000000000056e-01 1.133921253398906606e-02 5.788122059555157045e-02
3.000000000000000000e+00 1.000000000000000056e-01 1.151264638925687117e-02 6.045550897099703086e-02
3.000000000000000000e+00 1.000000000000000056e-01 8.550668868111441223e-03 6.932391386375690023e-02
3.000000000000000000e+00 1.000000000000000056e-01 8.991873615708434811e-03 6.846138618451236280e-02
3.000000000000000000e+00 1.000000000000000056e-01 8.931289385351984939e-03 6.839206532007108263e-02
4.000000000000000000e+00 1.000000000000000056e-01 9.157065680594565771e-03 9.109046981402543763e-02
4.000000000000000000e+00 1.000000000000000056e-01 3.859259612594758641e-03 7.758641548640876628e-02
4.000000000000000000e+00 1.000000000000000056e-01 6.660312917151415407e-03 4.347763408243508071e-02
4.000000000000000000e+00 1.000000000000000056e-01 1.255264523633497532e-02 8.533449437011773886e-02
4.000000000000000000e+00 1.000000000000000056e-01 1.254929567020123503e-02 5.926571972747207012e-02
4.000000000000000000e+00 1.000000000000000056e-01 1.089459770251969238e-02 5.994152386932425497e-02
4.000000000000000000e+00 1.000000000000000056e-01 1.321887023082423014e-02 5.624757484617852465e-02
4.000000000000000000e+00 1.000000000000000056e-01 6.020011645362545460e-02 1.420460512955446231e-01
4.000000000000000000e+00 1.000000000000000056e-01 1.052929816674832118e-02 6.856198142755377811e-02
4.000000000000000000e+00 1.000000000000000056e-01 5.398344712677107665e-02 1.384175511492998778e-01
5.000000000000000000e+00 1.000000000000000056e-01 9.211658043248138750e-03 9.109059921153866979e-02
5.000000000000000000e+00 1.000000000000000056e-01 4.067174726329981192e-03 7.761832780300099988e-02
5.000000000000000000e+00 1.000000000000000056e-01 6.517403899774303414e-03 4.535470765839388907e-02
5.000000000000000000e+00 1.000000000000000056e-01 1.240215329494707801e-02 9.703142497762323737e-02
5.000000000000000000e+00 1.000000000000000056e-01 4.892743142522626432e-02 6.565158334404870566e-02
5.000000000000000000e+00 1.000000000000000056e-01 1.113782332120711975e-02 6.241810309965460657e-02
5.000000000000000000e+00 1.000000000000000056e-01 1.434911960001647793e-02 5.266812185793678935e-02
5.000000000000000000e+00 1.000000000000000056e-01 1.191185198879292535e-02 6.912658411300484640e-02
5.000000000000000000e+00 1.000000000000000056e-01 1.233159682056809460e-02 6.872530637512776208e-02
5.000000000000000000e+00 1.000000000000000056e-01 1.205752523613582393e-02 6.812149807847016347e-02
6.000000000000000000e+00 1.000000000000000056e-01 9.249871287429899114e-03 9.109047660937072410e-02
6.000000000000000000e+00 1.000000000000000056e-01 4.250222955912008951e-03 7.764022539739112716e-02
6.000000000000000000e+00 1.000000000000000056e-01 5.814614994090771573e-03 4.219315091711229454e-02
6.000000000000000000e+00 1.000000000000000056e-01 3.215086696439854036e-02 1.191803315717633593e-01
6.000000000000000000e+00 1.000000000000000056e-01 1.291908883605046368e-02 4.659783652576993812e-02
6.000000000000000000e+00 1.000000000000000056e-01 4.681934101365764489e-02 1.742304766641084302e-01
6.000000000000000000e+00 1.000000000000000056e-01 5.198291570890174740e-02 1.672545606840820098e-01
6.000000000000000000e+00 1.000000000000000056e-01 1.407419585753426697e-02 6.829619608616080417e-02
6.000000000000000000e+00 1.000000000000000056e-01 1.391819285910849205e-02 6.971954880492127471e-02
6.000000000000000000e+00 1.000000000000000056e-01 4.131313744265047161e-02 1.394954155839458476e-01
7.000000000000000000e+00 1.000000000000000056e-01 9.278114506441103096e-03 9.109054564606075544e-02
7.000000000000000000e+00 1.000000000000000056e-01 4.403972653200033914e-03 7.765659281696679628e-02
7.000000000000000000e+00 1.000000000000000056e-01 5.551597547562649865e-03 4.182242767544526452e-02
7.000000000000000000e+00 1.000000000000000056e-01 1.174817360955334247e-02 1.160480180233677966e-01
7.000000000000000000e+00 1.000000000000000056e-01 1.282162557844374919e-02 4.017520558627284827e-02
7.000000000000000000e+00 1.000000000000000056e-01 1.249358726149441511e-02 6.481726025872651398e-02
7.000000000000000000e+00 1.000000000000000056e-01 1.658283538357474898e-02 4.876195048131828219e-02
7.000000000000000000e+00 1.000000000000000056e-01 1.621168368855865557e-02 6.750509816522522188e-02
7.000000000000000000e+00 1.000000000000000056e-01 1.509824461244965547e-02 7.184907972684259625e-02
7.000000000000000000e+00 1.000000000000000056e-01 1.512641196499376131e-02 7.085152269647737588e-02
8.000000000000000000e+00 1.000000000000000056e-01 9.299839018185986420e-03 9.109046776719142979e-02
8.000000000000000000e+00 1.000000000000000056e-01 6.714784460788944011e-03 7.773222751789074514e-02
8.000000000000000000e+00 1.000000000000000056e-01 5.349546010897116705e-03 4.154460065308523270e-02
8.000000000000000000e+00 1.000000000000000056e-01 1.135702261167326026e-02 1.237113659643137575e-01
8.000000000000000000e+00 1.000000000000000056e-01 1.263467837055957596e-02 3.490523039443753361e-02
8.000000000000000000e+00 1.000000000000000056e-01 1.321690381798936408e-02 6.442772969135947270e-02
8.000000000000000000e+00 1.000000000000000056e-01 2.849841499122914359e-02 1.783598178634749065e-01
8.000000000000000000e+00 1.000000000000000056e-01 5.545395863919434787e-02 1.719117008977641137e-01
8.000000000000000000e+00 1.000000000000000056e-01 1.591698379935139671e-02 7.476763125145026445e-02
8.000000000000000000e+00 1.000000000000000056e-01 1.650241209506518592e-02 7.392494896565712792e-02
9.000000000000000000e+00 1.000000000000000056e-01 9.317068048333557173e-03 9.109048470885709736e-02
9.000000000000000000e+00 1.000000000000000056e-01 4.639918748804118358e-03 7.767900335240415788e-02
9.000000000000000000e+00 1.000000000000000056e-01 6.541076042300855362e-03 4.197756533486188962e-02
9.000000000000000000e+00 1.000000000000000056e-01 1.095931946596717665e-02 1.303972016560073499e-01
9.000000000000000000e+00 1.000000000000000056e-01 1.239552356985644185e-02 3.157304250843414456e-02
9.000000000000000000e+00 1.000000000000000056e-01 1.387222446672886980e-02 6.319301387100355327e-02
9.000000000000000000e+00 1.000000000000000056e-01 2.370626238223043011e-02 1.846010759356891406e-01
9.000000000000000000e+00 1.000000000000000056e-01 1.980393129935474270e-02 6.747008231812040568e-02
9.000000000000000000e+00 1.000000000000000056e-01 1.645175810446900672e-02 7.778292509375432651e-02
9.000000000000000000e+00 1.000000000000000056e-01 3.190547309623837507e-02 1.517737522293538810e-01
1.000000000000000000e+01 1.000000000000000056e-01 9.331066111593757512e-03 9.109046908825443878e-02
1.000000000000000000e+01 1.000000000000000056e-01 4.731064572484888590e-03 7.768701557207613462e-02
1.000000000000000000e+01 1.000000000000000056e-01 6.604808683541347862e-03 4.237202270886013256e-02
1.000000000000000000e+01 1.000000000000000056e-01 1.056806435632634891e-02 1.362658524029825291e-01
1.000000000000000000e+01 1.000000000000000056e-01 1.212636429216822423e-02 3.070647182433492578e-02
1.000000000000000000e+01 1.000000000000000056e-01 1.444309200985127196e-02 6.136000403711382861e-02
1.000000000000000000e+01 1.000000000000000056e-01 2.033556792114898579e-02 5.009471288362991187e-02
1.000000000000000000e+01 1.000000000000000056e-01 2.115083828948610689e-02 6.790705667201227258e-02
1.000000000000000000e+01 1.000000000000000056e-01 3.388610982073332611e-02 1.447875001644416404e-01
1.000000000000000000e+01 1.000000000000000056e-01 1.917230404043899702e-02 8.075617300023767153e-02
1.000000000000000000e+00 1.888888888888889117e-01 1.093897407560688595e-02 1.113089918888851004e-01
1.000000000000000000e+00 1.888888888888889117e-01 3.129912062024314389e-03 7.696591544569804377e-02
1.000000000000000000e+00 1.888888888888889117e-01 7.532474342549435806e-03 5.719967423689603647e-02
1.000000000000000000e+00 1.888888888888889117e-01 6.019623484482403836e-03 4.320040358810185721e-02
1.000000000000000000e+00 1.888888888888889117e-01 7.607104935970838977e-03 4.457481392833669703e-02
1.000000000000000000e+00 1.888888888888889117e-01 7.031369993873593655e-03 3.773818681821133891e-02
1.000000000000000000e+00 1.888888888888889117e-01 4.970875256961641842e-02 8.853489599283322076e-02
1.000000000000000000e+00 1.888888888888889117e-01 5.711699597387110902e-03 3.402563759012722233e-02
1.000000000000000000e+00 1.888888888888889117e-01 5.742706470342810038e-03 3.402810088064776861e-02
1.000000000000000000e+00 1.888888888888889117e-01 5.742710415163328024e-03 3.402811195269146716e-02
2.000000000000000000e+00 1.888888888888889117e-01 1.259807700258940878e-02 1.045312349893630227e-01
2.000000000000000000e+00 1.888888888888889117e-01 3.037909545126472703e-03 7.705877840799237044e-02
2.000000000000000000e+00 1.888888888888889117e-01 5.877125921607784416e-03 5.473910086128731811e-02
2.000000000000000000e+00 1.888888888888889117e-01 7.027522813626964869e-03 6.559838364268340272e-02
2.000000000000000000e+00 1.888888888888889117e-01 7.545606322317454685e-03 5.129925868784552395e-02
2.000000000000000000e+00 1.888888888888889117e-01 6.182676458585777655e-03 4.034856377930348681e-02
2.000000000000000000e+00 1.888888888888889117e-01 5.730998556748750916e-02 9.722463254434603186e-02
2.000000000000000000e+00 1.888888888888889117e-01 3.439548919448374379e-03 3.083191492671544590e-02
2.000000000000000000e+00 1.888888888888889117e-01 3.406285104368308916e-03 3.078702638872658076e-02
2.000000000000000000e+00 1.888888888888889117e-01 3.404084985430612907e-03 3.078233982751875375e-02
3.000000000000000000e+00 1.888888888888889117e-01 8.370754346659962236e-03 9.109056465479357934e-02
3.000000000000000000e+00 1.888888888888889117e-01 3.318788789210937087e-03 7.709613783540614218e-02
3.000000000000000000e+00 1.888888888888889117e-01 4.983880753529958477e-03 5.348770283738200210e-02
3.000000000000000000e+00 1.888888888888889117e-01 7.296771311942853132e-03 8.482572162323558096e-02
3.000000000000000000e+00 1.888888888888889117e-01 2.296707718918951369e-02 7.963731685117207693e-02
3.000000000000000000e+00 1.888888888888889117e-01 7.223357679671279889e-03 4.308102419103920083e-02
3.000000000000000000e+00 1.888888888888889117e-01 6.120279553816416508e-03 2.073069667050889131e-02
3.000000000000000000e+00 1.888888888888889117e-01 5.194028630429751645e-03 2.765179971576737367e-02
3.000000000000000000e+00 1.888888888888889117e-01 4.201545277269264946e-03 2.718845984806908533e-02
3.000000000000000000e+00 1.888888888888889117e-01 3.985230507520169663e-02 8.694311806438966006e-02
4.000000000000000000e+00 1.888888888888889117e-01 1.403117969759119787e-02 9.538314846303458383e-02
4.000000000000000000e+00 1.888888888888889117e-01 3.547436159653187537e-03 7.711521929967958544e-02
4.000000000000000000e+00 1.888888888888889117e-01 4.452206391686259167e-03 5.276161416069952842e-02
4.000000000000000000e+00 1.888888888888889117e-01 7.162123023093890789e-03 1.007840063373752204e-01
4.000000000000000000e+00 1.888888888888889117e-01 7.614169861480645993e-03 3.904161070375702230e-02
4.000000000000000000e+00 1.888888888888889117e-01 8.467472538968762175e-03 4.432888432843523630e-02
4.000000000000000000e+00 1.888888888888889117e-01 4.369944279740059501e-02 1.119845654368861049e-01
4.000000000000000000e+00 1.888888888888889117e-01 7.389411595356993982e-03 2.600903257765523058e-02
4.000000000000000000e+00 1.888888888888889117e-01 5.637404126369605258e-03 2.523665939482766171e-02
4.000000000000000000e+00 1.888888888888889117e-01 5.493332765380638284e-03 2.499726957060991947e-02
5.000000000000000000e+00 1.888888888888889117e-01 8.418337344025927232e-03 9.109049824932470563e-02
5.000000000000000000e+00 1.888888888888889117e-01 3.715286729370394312e-03 7.712761774198906295e-02
5.000000000000000000e+00 1.888888888888889117e-01 4.106267892937016245e-03 5.229051016520658290e-02
5.000000000000000000e+00 1.888888888888889117e-01 6.867600739129124839e-03 1.138838131736011755e-01
5.000000000000000000e+00 1.888888888888889117e-01 7.303706703785865610e-03 3.238080578322331121e-02
5.000000000000000000e+00 1.888888888888889117e-01 2.932811624608915035e-02 1.211239828195211921e-01
5.000000000000000000e+00 1.888888888888889117e-01 3.137414892969628277e-02 1.188984910977322063e-01
5.000000000000000000e+00 1.888888888888889117e-01 9.457077932418875982e-03 2.551571615118531852e-02
5.000000000000000000e+00 1.888888888888889117e-01 7.033461481683680322e-03 2.511060472483944706e-02
5.000000000000000000e+00 1.888888888888889117e-01 6.823087836353059973e-03 2.456674863620849844e-02
6.000000000000000000e+00 1.888888888888889117e-01 1.462205907837241074e-02 9.253828517687585908e-02
6.000000000000000000e+00 1.888888888888889117e-01 3.840374934459467836e-03 7.713608076330534524e-02
6.000000000000000000e+00 1.888888888888889117e-01 3.865975711174671897e-03 5.196078109134053685e-02
6.000000000000000000e+00 1.888888888888889117e-01 6.522332214038953704e-03 1.246757830863296779e-01
6.000000000000000000e+00 1.888888888888889117e-01 3.419561370370704373e-02 5.053404666967206693e-02
6.000000000000000000e+00 1.888888888888889117e-01 1.020646414975535064e-02 4.180360918656383235e-02
6.000000000000000000e+00 1.888888888888889117e-01 9.247067414235711144e-03 1.967569341075481662e-02
6.000000000000000000e+00 1.888888888888889117e-01 1.110036838921255042e-02 2.579306354180513003e-02
6.000000000000000000e+00 1.888888888888889117e-01 8.106738120112587029e-03 2.639509503940403942e-02
6.000000000000000000e+00 1.888888888888889117e-01 7.982501144331499363e-03 2.548492039730472503e-02
7.000000000000000000e+00 1.888888888888889117e-01 8.440149729700932579e-03 9.109057268188194834e-02
7.000000000000000000e+00 1.888888888888889117e-01 3.936294557761825345e-03 7.714224163414083735e-02
7.000000000000000000e+00 1.888888888888889117e-01 3.690700459083211867e-03 5.171753787539697805e-02
7.000000000000000000e+00 1.888888888888889117e-01 6.174802925048026962e-03 1.336505543920187833e-01
7.000000000000000000e+00 1.888888888888889117e-01 3.434929430474059631e-02 4.353811420190861758e-02
7.000000000000000000e+00 1.888888888888889117e-01 1.070998837390040384e-02 3.930934735613845349e-02
7.000000000000000000e+00 1.888888888888889117e-01 1.043748125966621233e-02 2.313401337146752529e-02
7.000000000000000000e+00 1.888888888888889117e-01 1.222319274621146666e-02 2.656734933046863215e-02
7.000000000000000000e+00 1.888888888888889117e-01 8.812772028886292630e-03 2.848508657198767224e-02
7.000000000000000000e+00 1.888888888888889117e-01 8.958296230920627379e-03 2.720530410695415000e-02
8.000000000000000000e+00 1.888888888888889117e-01 1.435874414874326217e-02 1.054613467548483619e-01
8.000000000000000000e+00 1.888888888888889117e-01 4.011867880667605371e-03 7.714688384981922831e-02
8.000000000000000000e+00 1.888888888888889117e-01 3.557929770157410108e-03 5.153093280956429212e-02
8.000000000000000000e+00 1.888888888888889117e-01 1.865426585732234827e-02 2.128412317483015792e-01
8.000000000000000000e+00 1.888888888888889117e-01 6.252088561999038716e-03 3.540977078916029280e-02
8.000000000000000000e+00 1.888888888888889117e-01 1.103833453340078569e-02 3.680841452947818115e-02
8.000000000000000000e+00 1.888888888888889117e-01 1.166859608568431191e-02 2.644425371752897463e-02
8.000000000000000000e+00 1.888888888888889117e-01 3.022537014406705483e-02 1.007797992015117550e-01
8.000000000000000000e+00 1.888888888888889117e-01 2.038291082206614147e-02 9.889126373558936034e-02
8.000000000000000000e+00 1.888888888888889117e-01 9.782767880791439288e-03 2.929481839887953035e-02
9.000000000000000000e+00 1.888888888888889117e-01 8.452664623471424152e-03 9.109046761868698494e-02
9.000000000000000000e+00 1.888888888888889117e-01 4.072817462174293905e-03 7.715053123221699005e-02
9.000000000000000000e+00 1.888888888888889117e-01 3.454291526259809560e-03 5.138291218988669251e-02
9.000000000000000000e+00 1.888888888888889117e-01 5.545117151240570863e-03 1.476136967495367269e-01
9.000000000000000000e+00 1.888888888888889117e-01 5.934314667802808273e-03 4.197863213487944278e-02
9.000000000000000000e+00 1.888888888888889117e-01 5.065096120271726787e-02 1.001657066993795198e-01
9.000000000000000000e+00 1.888888888888889117e-01 1.286270714638007052e-02 2.929844888160541491e-02
9.000000000000000000e+00 1.888888888888889117e-01 1.318673475743924184e-02 2.891082693391784988e-02
9.000000000000000000e+00 1.888888888888889117e-01 9.380165082954951272e-03 3.341087694450519535e-02
9.000000000000000000e+00 1.888888888888889117e-01 1.049446818014564999e-02 3.149677325844604803e-02
1.000000000000000000e+01 1.888888888888889117e-01 1.685025128735384223e-02 9.159046179227085804e-02
