# param1 param2 velocity_error viscosity_error
1.6411190557e+00 8.2253343270e-01 4.9360272493e-03 9.6110605512e-02
1.6411190557e+00 8.2253343270e-01 4.6797059022e-02 1.7033261214e-01
1.6411190557e+00 8.2253343270e-01 4.5848698234e-02 1.2778628815e-01
1.6411190557e+00 8.2253343270e-01 4.3588830686e-02 1.9143284713e-01
1.6411190557e+00 8.2253343270e-01 3.7854964802e-02 1.5581718418e-01
1.6411190557e+00 8.2253343270e-01 2.7752739884e-02 3.0417732422e-01
1.6411190557e+00 8.2253343270e-01 1.9535124971e-02 6.1262762399e-01
1.6411190557e+00 8.2253343270e-01 1.7929353408e-02 1.0090950427e-01
1.6411190557e+00 8.2253343270e-01 1.7933174276e-02 3.6392555127e-01
1.6411190557e+00 8.2253343270e-01 6.3573594531e-03 5.1490843460e-02
1.6954586405e+00 4.1327505809e-01 5.0124232590e-03 9.6101166018e-02
1.6954586405e+00 4.1327505809e-01 4.7292283847e-02 1.5679104396e-01
1.6954586405e+00 4.1327505809e-01 4.7164909654e-02 1.1041208566e-01
1.6954586405e+00 4.1327505809e-01 4.3917257817e-02 1.6643648750e-01
1.6954586405e+00 4.1327505809e-01 2.3361160192e-02 1.3850650353e-01
1.6954586405e+00 4.1327505809e-01 2.0730694362e-02 2.6671665254e-01
1.6954586405e+00 4.1327505809e-01 3.4142182123e-02 5.3128927017e-01
1.6954586405e+00 4.1327505809e-01 3.1859846866e-02 8.5377285110e-02
1.6954586405e+00 4.1327505809e-01 3.1820035862e-02 3.2319847114e-01
1.6954586405e+00 4.1327505809e-01 5.5213892195e-03 4.7122397601e-02
1.9556300636e+00 7.9825151475e-01 4.9352199571e-03 9.6095470336e-02
1.9556300636e+00 7.9825151475e-01 4.6775315105e-02 1.7908182927e-01
1.9556300636e+00 7.9825151475e-01 4.5812424013e-02 1.4356473993e-01
1.9556300636e+00 7.9825151475e-01 4.3450236371e-02 1.9062871259e-01
1.9556300636e+00 7.9825151475e-01 3.7197026611e-02 1.5485369742e-01
1.9556300636e+00 7.9825151475e-01 2.5055516051e-02 2.9965505636e-01
1.9556300636e+00 7.9825151475e-01 1.4465571239e-02 5.9400862507e-01
1.9556300636e+00 7.9825151475e-01 1.2592168670e-02 8.7785577773e-02
1.9556300636e+00 7.9825151475e-01 1.2621754417e-02 2.1550074460e-01
1.9556300636e+00 7.9825151475e-01 5.6746536131e-03 4.8205249107e-02
2.0034555083e+00 5.9472484720e-01 4.9455795291e-03 9.6095488615e-02
2.0034555083e+00 5.9472484720e-01 4.6857673932e-02 1.7364276981e-01
2.0034555083e+00 5.9472484720e-01 4.6077138336e-02 1.3610189726e-01
2.0034555083e+00 5.9472484720e-01 4.3390678727e-02 1.8232398363e-01
2.0034555083e+00 5.9472484720e-01 3.0953872666e-02 1.4768967719e-01
2.0034555083e+00 5.9472484720e-01 9.5409539750e-03 2.8569776651e-01
2.0034555083e+00 5.9472484720e-01 1.9357747823e-02 5.6174579918e-01
2.0034555083e+00 5.9472484720e-01 2.0469372193e-02 8.2188233840e-02
2.0034555083e+00 5.9472484720e-01 2.0446156922e-02 1.9326595004e-01
2.0034555083e+00 5.9472484720e-01 5.0188319912e-03 4.7389565302e-02
2.2105268543e+00 5.7974469863e-01 4.9483556945e-03 9.6097022340e-02
2.2105268543e+00 5.7974469863e-01 4.6837862725e-02 1.7747011255e-01
2.2105268543e+00 5.7974469863e-01 4.6029819701e-02 1.4349346872e-01
2.2105268543e+00 5.7974469863e-01 4.3272161760e-02 1.8287424583e-01
2.2105268543e+00 5.7974469863e-01 3.0503386336e-02 1.4668383981e-01
2.2105268543e+00 5.7974469863e-01 8.2284047582e-03 2.8176117276e-01
2.2105268543e+00 5.7974469863e-01 2.3781816491e-02 5.4733093351e-01
2.2105268543e+00 5.7974469863e-01 2.6019659081e-02 7.9956052993e-02
2.2105268543e+00 5.7974469863e-01 2.6068845172e-02 1.2309154215e-01
2.2105268543e+00 5.7974469863e-01 4.7543993554e-03 4.5283553878e-02
2.4021099823e+00 3.5877290113e-01 5.0654909739e-03 9.6096881738e-02
2.4021099823e+00 3.5877290113e-01 4.7232161572e-02 1.6869638985e-01
2.4021099823e+00 3.5877290113e-01 4.6898355669e-02 1.3451514581e-01
2.4021099823e+00 3.5877290113e-01 4.3707619702e-02 1.7030266646e-01
2.4021099823e+00 3.5877290113e-01 2.2413345493e-02 1.3480152128e-01
2.4021099823e+00 3.5877290113e-01 3.0927991859e-02 2.5386997862e-01
2.4021099823e+00 3.5877290113e-01 5.4681245787e-02 4.8181766353e-01
