# param1 param2 velocity_error viscosity_error
1.5688162401e+00 3.5276393046e-01 1.7589851075e-04 3.0653692809e-03
1.6224355351e+00 7.0991685908e-01 7.6750356995e-05 2.5302231919e-03
1.6734192159e+00 4.7182522019e-01 1.0830480141e-04 2.1410842301e-03
1.7975012973e+00 3.9258621477e-01 6.6263446458e-05 1.0565826118e-03
1.8313121664e+00 5.8940921339e-01 3.7600550369e-05 7.8123075143e-04
1.9170460498e+00 4.5094658875e-01 2.6246725295e-05 3.9569650804e-04
2.0035867697e+00 4.2820067807e-01 1.3347902448e-05 1.6115378841e-04
2.0748783692e+00 3.0858109768e-01 1.8962468858e-05 2.5018933441e-04
2.2018472521e+00 7.3561035784e-01 1.5939996593e-05 6.5250252295e-04
2.2520493767e+00 7.1951569710e-01 1.8012901365e-05 5.9907661440e-04
2.3050549480e+00 5.7814091480e-01 2.7426932781e-05 7.4213297748e-04
2.4336111030e+00 2.4304497342e-01 4.4374247186e-05 9.1737981703e-04
2.4865277631e+00 3.8666099770e-01 3.3586878835e-05 6.9752002822e-04
2.5577293202e+00 3.4487913743e-01 3.1683399602e-05 5.2649081166e-04
2.6917277626e+00 4.6611019462e-01 2.0584206520e-05 3.8125180732e-04
2.7347811115e+00 4.9401550834e-01 1.7940410245e-05 2.9147671034e-04
2.8513807243e+00 6.6811311353e-01 6.9847944504e-06 1.3694394033e-04
2.9155234701e+00 4.4427169715e-01 9.3695240323e-06 1.5152636918e-04
2.9487366007e+00 4.5657783953e-01 8.3261802544e-06 1.0218123192e-04
3.0233152629e+00 1.3837918491e-01 1.4374094192e-04 2.2535595880e-03
3.1450278465e+00 1.2122144917e-01 1.8836204277e-04 2.5368720351e-03
3.1982390054e+00 8.1596987278e-01 7.5872480879e-06 1.9164477846e-04
3.3228332262e+00 2.5571774090e-01 2.0605011423e-05 3.4892002425e-04
3.3845268641e+00 2.8624115733e-01 1.8281791616e-05 2.5113740126e-04
3.4858581774e+00 2.6704671573e-01 1.7719682734e-05 2.6282317190e-04
3.5676568406e+00 3.1941374264e-01 1.8626473864e-05 3.2239084771e-04
3.6254325568e+00 7.2862064546e-01 7.2163184438e-06 1.4964945529e-04
3.7101073817e+00 2.2881039332e-01 3.2890562534e-05 7.2598157521e-04
3.8096062796e+00 6.2022735404e-01 4.7813833923e-06 9.3606307770e-05
3.8393184376e+00 6.4034792042e-01 4.6842630451e-06 9.1770956956e-05
3.9534744802e+00 6.4909909146e-01 4.5473703857e-06 7.7536112128e-05
