# param_0 vel_a0 vel_a1 vel_a2 vel_a3 vel_a4 vel_a5 vel_a6 vel_a7 visc_a0 visc_a1 visc_a2 visc_a3 visc_a4 visc_a5 visc_a6 visc_a7
1.000000000000000000e+00 -4.045071782881556999e+01 -5.892133072973128272e+00 7.832835894089569262e-01 -6.405372255206664978e-02 2.084592650766485533e-03 -8.124450030309871007e-05 7.361191298016489526e-06 -4.466546874026811054e-08 -1.997869591883988107e+02 4.630666665089874812e+01 2.856482882984602156e+01 -6.173342564820387679e+00 1.992408117948896162e-01 -3.664318701115526489e-02 2.954749113750487766e-04 3.368298707351335963e-05
3.111111111111111160e+00 -3.923522293523662796e+01 -2.730056430600084294e+00 -5.216187238683469563e-01 1.777676524454434026e-01 -1.798816721392764578e-02 1.422611191004605202e-03 -1.348007569243747650e-04 2.416610581992828521e-06 -4.288290920536425688e+02 5.326387581553927930e+01 7.455686346503412665e+00 7.463105123416530873e+00 -9.322440173829824595e-01 2.289870652994605571e-01 -8.422301585051528150e-03 -8.678751788093741482e-04
5.222222222222222321e+00 -3.837680436295591591e+01 -1.011107527187130373e+00 -6.400148148378188573e-01 1.127601210652734443e-02 2.256913088515229843e-02 -4.333734338868994174e-03 6.324026805151483632e-04 -2.329425169431131870e-05 -6.011249494226022989e+02 4.786903897682503839e+01 -4.208326647463976222e+00 4.266695432873664373e+00 4.671659806058401365e-01 -3.692469379270020280e-01 3.447954098712990856e-02 4.883556095958141441e-03
7.333333333333333925e+00 -3.776514577638808134e+01 5.934092769545232238e-02 -5.089236474254175135e-01 -7.198024440881817254e-02 1.404128491861728750e-02 1.747042546583657541e-03 -9.512042799924846914e-04 7.985547366988476892e-05 -7.451555476651384424e+02 3.815601938435941776e+01 -9.300516024784514002e+00 9.402809860950345211e-02 7.823235202241760611e-01 -3.148342904548462329e-02 -3.479176523849147884e-02 -1.026499754439846868e-02
9.444444444444444642e+00 -3.731144838734248737e+01 7.889955163849958764e-01 -3.143722862461074685e-01 -9.203113238337279345e-02 -3.106316638560084609e-03 3.535805938061062359e-03 6.717311813619897265e-06 -1.014807400496336998e-04 -8.719282537288977437e+02 2.628124098930408437e+01 -1.042238741729408602e+01 -2.682097345949022049e+00 4.198226641416953342e-01 2.223867520740394621e-01 -2.231441846574533372e-02 6.588668717406598319e-03
1.155555555555555536e+01 -3.696475639351780274e+01 1.314496586884460250e+00 -1.097752319112799413e-01 -7.629297702908799383e-02 -1.408752426613694812e-02 1.322940761052042447e-03 6.902230686984256458e-04 -3.158969498012753618e-06 -9.868164794804328039e+02 1.312538543452475714e+01 -8.907635905785864949e+00 -3.764228918844510829e+00 -1.669806121022365808e-01 1.907009988625332220e-01 2.600897138863800251e-02 5.036199699235410776e-03
1.366666666666666785e+01 -3.669529792576236105e+01 1.705738518075363253e+00 8.539518564215625718e-02 -4.141888039501601115e-02 -1.590944249151312467e-02 -1.910287737215854431e-03 3.080837262705582447e-04 8.509944820835058099e-05 -1.092896714213491123e+03 -9.466549848151419866e-01 -5.456280875641040140e+00 -3.312090679526834336e+00 -6.343090813029754749e-01 -1.327366003391983185e-02 3.388364213933137137e-02 -5.830712665458648303e-03
1.577777777777777857e+01 -3.648412760391541809e+01 2.003056025717753208e+00 2.633686022154398954e-01 3.078803056263956783e-03 -9.598636127971994780e-03 -3.498254716345919335e-03 -4.308771614700557251e-04 1.021235886551619121e-05 -1.192155536826261141e+03 -1.578091967938727436e+01 -4.868172188288220070e-01 -1.621308884375309844e+00 -7.239970369009651741e-01 -1.976557683681963162e-01 -9.059949873417849631e-03 -4.224409504891113443e-03
1.788888888888888928e+01 -3.631790237293625978e+01 2.232243935743452479e+00 4.217186380805656998e-01 5.181315602146821520e-02 2.778127493121182803e-03 -1.840540635502367628e-03 -5.851373671360571294e-04 -9.089136658664564994e-05 -1.285991094018499780e+03 -3.127736167750153840e+01 5.695737395704231432e+00 9.786889287396451920e-01 -2.590523459803542039e-01 -1.792158611741756502e-01 -4.386116440959142437e-02 6.918886503525456533e-03
2.000000000000000000e+01 -3.618656358866001455e+01 2.411007558376616622e+00 5.607587116923850035e-01 1.017406478120425617e-01 1.920025087457704477e-02 3.635415386571097529e-03 4.572222326166830442e-04 4.128617874404882926e-05 -1.375448330427001110e+03 -4.732813083003167520e+01 1.283406075733526741e+01 4.177048097910173396e+00 8.611040850412496894e-01 1.839902578990750825e-01 2.378611041007872018e-02 -2.271931680597916170e-03
