modes mean_relative_error_ctrace
2.000000000000000000e+00 3.154824505638946508e-02
4.000000000000000000e+00 1.416601598272842003e-02
6.000000000000000000e+00 9.891670943590993512e-03
8.000000000000000000e+00 8.203265695251900705e-03
1.000000000000000000e+01 7.788428880479523510e-03
1.200000000000000000e+01 7.509874244760786875e-03
1.500000000000000000e+01 7.131271583829396077e-03
2.000000000000000000e+01 6.780645177719782542e-03
2.500000000000000000e+01 6.530078980149048654e-03
3.000000000000000000e+01 6.338472833876494274e-03
4.000000000000000000e+01 6.054589446898112244e-03
