modes mean_relative_error_velocity
2.000000000000000000e+00 1.117815726644179330e-02
4.000000000000000000e+00 4.245585186779936640e-03
6.000000000000000000e+00 2.439827525483597055e-03
8.000000000000000000e+00 1.733007814012553710e-03
1.000000000000000000e+01 1.455788741343994833e-03
1.200000000000000000e+01 1.377945660242848669e-03
1.500000000000000000e+01 1.343062946579866909e-03
2.000000000000000000e+01 1.309067268170791042e-03
2.500000000000000000e+01 1.304595708522981795e-03
3.000000000000000000e+01 1.304121366264447473e-03
4.000000000000000000e+01 1.303952248590203259e-03
