# param1 param2 velocity_error viscosity_error
1.6411190557e+00 8.2135629410e-01 1.9714220569e-03 2.5146427050e-02
1.6954586405e+00 3.9455827487e-01 2.2627811550e-03 2.0396424054e-02
1.9556300636e+00 7.9603372252e-01 1.0160454991e-04 1.7502673062e-03
2.0034555083e+00 5.8378448351e-01 1.3093381865e-04 6.6340152155e-04
2.2105268543e+00 5.6816232857e-01 9.2796385504e-04 8.2785033914e-03
2.4021099823e+00 3.3772031118e-01 1.4058941869e-03 9.8870494124e-03
2.5169815808e+00 1.8098768045e-01 1.6130175316e-03 9.3471726264e-03
2.6246883161e+00 6.3256043163e-01 9.2314659256e-04 7.7490570139e-03
2.8097567385e+00 2.3436219537e-01 1.0343092038e-03 5.8814953610e-03
2.9930555261e+00 7.7012199539e-01 2.5960087513e-04 8.1947181492e-04
3.1340920996e+00 3.1469317749e-01 4.6790259005e-04 2.9581479788e-03
3.2868384318e+00 3.5645044038e-01 5.6875479043e-04 3.9210431678e-03
3.5180034594e+00 7.5819040968e-01 4.1174737159e-04 3.4563846306e-03
3.6244225039e+00 1.4245659244e-01 5.9307909877e-03 2.1352131609e-02
3.7808380551e+00 6.0227435791e-01 3.0528741890e-04 1.7923918044e-03
3.9900556930e+00 2.9764289834e-01 3.4459954798e-04 1.0681761909e-03
4.1448710702e+00 5.1143371816e-01 2.5121452266e-04 9.5836142348e-04
4.2784450688e+00 4.6231774075e-01 3.2726379198e-04 1.5825241788e-03
4.4182176477e+00 1.6692346114e-01 3.3325408420e-03 8.1042047088e-03
4.5937098335e+00 5.5206675182e-01 3.6112060747e-04 1.5287648390e-03
4.7853246394e+00 3.5296046502e-01 3.7364650864e-04 9.9647275905e-04
4.9071735394e+00 1.2320135615e-01 1.3377910263e-02 3.7358250859e-02
5.1592125591e+00 2.1525470808e-01 1.9002611478e-03 4.5040116685e-03
5.3176324803e+00 7.1692786093e-01 2.8560380783e-04 6.1658479844e-04
5.3675790125e+00 4.0277769977e-01 5.0490882063e-04 1.0664025795e-03
5.5712664341e+00 7.3226826806e-01 2.8626179342e-04 5.2264737315e-04
5.7079575837e+00 6.7023944704e-01 3.3517429644e-04 6.7354292356e-04
5.9317580657e+00 4.7579787414e-01 1.9417546694e-04 5.0206035996e-04
6.1249316243e+00 7.3355591367e-01 1.7748343626e-04 3.0859231549e-04
6.2906715613e+00 8.4589179518e-01 5.1815655687e-04 1.2276955170e-03
6.4130249988e+00 5.3373601888e-01 2.5898818812e-04 4.8171908920e-04
6.4826243328e+00 4.8941842678e-01 4.2934850666e-04 8.9668967332e-04
6.7541965154e+00 5.9448474628e-01 3.2615894259e-04 7.2193007595e-04
6.9056664523e+00 6.5423548180e-01 2.3956745156e-04 5.6580829647e-04
7.0680146876e+00 7.0389251086e-01 2.2835301716e-04 5.0197913031e-04
7.1387059616e+00 3.7762392087e-01 3.2013579660e-04 7.7184206546e-04
7.2961670322e+00 7.8519237478e-01 4.3988574288e-04 1.3229051391e-03
7.5206723161e+00 6.7586923116e-01 4.5968336486e-04 1.5322059104e-03
7.7350691465e+00 2.4502392612e-01 2.4947015166e-03 5.5604908373e-03
7.8795018188e+00 6.2442436531e-01 1.6981748283e-04 7.4045521493e-04
8.0078679427e+00 8.1539128829e-01 8.9415258013e-05 2.0614115536e-04
8.1953136813e+00 2.7062748528e-01 5.2581778282e-04 1.1548030421e-03
8.3090537282e+00 4.5248231466e-01 1.4164183987e-04 1.7669819338e-03
8.5036945042e+00 1.9782071568e-01 1.8101309713e-03 3.5542541244e-03
8.6286149959e+00 4.2103709010e-01 5.4301449117e-04 2.4609976804e-03
8.7508007194e+00 2.6395961374e-01 1.0763208568e-03 2.3353421519e-03
8.9295622230e+00 2.8403101668e-01 3.7098742928e-04 1.2419463777e-03
9.1065734759e+00 1.5549637854e-01 1.3163384057e-02 2.8142815805e-02
9.3363660683e+00 5.2748530123e-01 3.9913377184e-04 4.9111343496e-03
9.4108748556e+00 4.2975508615e-01 7.6507000709e-04 6.0041460564e-03
