# lambda  beta  velocity  c-trace
1.64111906e+00 8.21356294e-01 1.97365804e-03 2.51552368e-02
1.69545864e+00 3.94558275e-01 2.26402167e-03 2.04010827e-02
1.95563006e+00 7.96033723e-01 1.00255518e-04 1.74721316e-03
2.00345551e+00 5.83784484e-01 1.30386062e-04 6.60016649e-04
2.21052685e+00 5.68162329e-01 9.28772957e-04 8.28136896e-03
2.40210998e+00 3.37720311e-01 1.40701107e-03 9.89225488e-03
2.51698158e+00 1.80987680e-01 1.61444217e-03 9.35014790e-03
2.62468832e+00 6.32560432e-01 9.24059125e-04 7.75230619e-03
2.80975674e+00 2.34362195e-01 1.03557472e-03 5.88213091e-03
2.99305553e+00 7.70121995e-01 2.60523485e-04 8.16241705e-04
3.13409210e+00 3.14693177e-01 4.68513526e-04 2.95897946e-03
3.28683843e+00 3.56450440e-01 5.68933123e-04 3.92098432e-03
3.51800346e+00 7.58190410e-01 4.10246058e-04 3.45669034e-03
3.62442250e+00 1.42456592e-01 5.93622271e-03 2.13537641e-02
3.78083806e+00 6.02274358e-01 3.05219358e-04 1.79181167e-03
3.99005569e+00 2.97642898e-01 3.45431061e-04 1.06647116e-03
4.14487107e+00 5.11433718e-01 2.51064899e-04 9.55900911e-04
4.27844507e+00 4.62317741e-01 3.27503998e-04 1.58206858e-03
4.41821765e+00 1.66923461e-01 3.33621602e-03 8.10192041e-03
4.59370983e+00 5.52066752e-01 3.61134970e-04 1.52991587e-03
4.78532464e+00 3.52960465e-01 3.73462142e-04 9.95095263e-04
4.90717354e+00 1.23201356e-01 1.33845173e-02 3.73623024e-02
5.15921256e+00 2.15254708e-01 1.90343890e-03 4.50562400e-03
5.31763248e+00 7.16927861e-01 2.85918358e-04 6.15969425e-04
5.36757901e+00 4.02777700e-01 5.06134646e-04 1.06707290e-03
5.57126643e+00 7.32268268e-01 2.86262959e-04 5.21595676e-04
5.70795758e+00 6.70239447e-01 3.35770085e-04 6.73574282e-04
5.93175807e+00 4.75797874e-01 1.94015804e-04 4.98124125e-04
6.12493162e+00 7.33555914e-01 1.77688299e-04 3.06551992e-04
6.29067156e+00 8.45891795e-01 5.18419231e-04 1.22705357e-03
6.41302500e+00 5.33736019e-01 2.59031186e-04 4.79433488e-04
6.48262433e+00 4.89418427e-01 4.30060568e-04 8.95161447e-04
6.75419652e+00 5.94484746e-01 3.26751740e-04 7.21777961e-04
6.90566645e+00 6.54235482e-01 2.40200189e-04 5.64951575e-04
7.06801469e+00 7.03892511e-01 2.28832080e-04 5.00546470e-04
7.13870596e+00 3.77623921e-01 3.21022422e-04 7.71981518e-04
7.29616703e+00 7.85192375e-01 4.40180926e-04 1.32227821e-03
7.52067232e+00 6.75869231e-01 4.60667283e-04 1.53292932e-03
7.73506915e+00 2.45023926e-01 2.49945984e-03 5.56375175e-03
7.87950182e+00 6.24424365e-01 1.69976176e-04 7.39029342e-04
8.00786794e+00 8.15391288e-01 8.92003517e-05 2.00886411e-04
8.19531368e+00 2.70627485e-01 5.27348627e-04 1.15512616e-03
8.30905373e+00 4.52482315e-01 1.40808843e-04 1.76730450e-03
8.50369450e+00 1.97820716e-01 1.81307166e-03 3.55608741e-03
8.62861500e+00 4.21037090e-01 5.44661587e-04 2.46300200e-03
8.75080072e+00 2.63959614e-01 1.07886364e-03 2.33651281e-03
8.92956222e+00 2.84031017e-01 3.71568722e-04 1.24241081e-03
9.10657348e+00 1.55496379e-01 1.31755284e-02 2.81510992e-02
9.33636607e+00 5.27485301e-01 3.99300075e-04 4.91292366e-03
9.41087486e+00 4.29755086e-01 7.66205605e-04 6.00589210e-03
