# lambda  beta  velocity  c-trace
1.64111900e+00 8.22533000e-01 6.24441174e-05 2.27353007e-03
1.69545900e+00 4.13275000e-01 1.47108966e-04 1.57230263e-03
1.95563000e+00 7.98252000e-01 6.10677148e-06 1.91037580e-04
2.00345600e+00 5.94725000e-01 2.28854286e-06 1.42586617e-04
2.21052700e+00 5.79745000e-01 3.37815746e-05 6.60032691e-04
2.40211000e+00 3.58773000e-01 6.07366760e-05 6.61033130e-04
2.51698200e+00 2.08481000e-01 6.74735345e-05 9.59877556e-04
2.62468800e+00 6.41496000e-01 2.53837122e-05 4.72687541e-04
2.80975700e+00 2.59662000e-01 2.41102568e-05 4.36566257e-04
2.99305600e+00 7.73405000e-01 5.85493563e-06 3.89378291e-04
3.13409200e+00 3.36692000e-01 1.15358608e-05 2.91620546e-04
3.28683800e+00 3.76733000e-01 1.81995318e-05 2.00896357e-04
3.51800300e+00 7.61963000e-01 9.60862915e-06 2.65066635e-04
3.62442300e+00 1.71534000e-01 4.34450446e-05 1.01255753e-03
3.78083800e+00 6.12455000e-01 6.73877243e-06 7.96303144e-05
3.99005600e+00 3.20343000e-01 7.47918513e-06 2.90748402e-04
4.14487100e+00 5.25347000e-01 4.66827880e-06 5.77073456e-05
4.27844500e+00 4.78250000e-01 7.79960319e-06 8.80989806e-05
4.41821800e+00 1.94995000e-01 1.81107204e-05 3.81239720e-04
4.59371000e+00 5.64311000e-01 6.86465533e-06 2.09536262e-04
4.78532500e+00 3.73387000e-01 5.96617963e-06 1.26854742e-04
4.90717400e+00 1.53070000e-01 1.45957430e-04 2.61851346e-03
5.15921300e+00 2.41340000e-01 3.16538023e-05 7.05896441e-04
5.31763200e+00 7.22397000e-01 3.43016996e-06 9.78625588e-05
5.36757900e+00 4.21157000e-01 8.72154820e-06 1.26270135e-04
5.57126600e+00 7.37107000e-01 5.25223951e-06 1.03061885e-04
5.70795800e+00 6.77627000e-01 5.53115348e-06 3.13586996e-04
5.93175800e+00 4.91176000e-01 4.28776756e-06 1.94298595e-04
6.12493200e+00 7.38341000e-01 4.33501765e-06 2.33849160e-04
6.29067200e+00 8.46061000e-01 2.83719409e-05 1.11708547e-03
6.41302500e+00 5.46733000e-01 5.20829026e-06 1.27831847e-04
6.48262400e+00 5.04237000e-01 7.87757574e-06 1.22761857e-04
6.75419700e+00 6.04985000e-01 4.93678324e-06 2.50335791e-04
6.90566600e+00 6.62281000e-01 5.07023252e-06 1.75383382e-04
7.06801500e+00 7.09897000e-01 3.37840308e-06 1.60905011e-04
7.13870600e+00 3.97037000e-01 8.30994775e-06 2.03758246e-04
7.29616700e+00 7.87856000e-01 1.17372499e-05 3.46507403e-04
7.52067200e+00 6.83025000e-01 7.80044916e-06 4.36372764e-04
7.73506900e+00 2.69886000e-01 1.30744606e-05 2.39588711e-04
7.87950200e+00 6.33695000e-01 2.82682097e-06 8.77875054e-05
8.00786800e+00 8.16814000e-01 4.92041053e-06 1.75132912e-04
8.19531400e+00 2.94437000e-01 1.68129227e-05 3.20834823e-04
8.30905400e+00 4.68819000e-01 1.13015495e-05 2.53296633e-04
8.50369500e+00 2.24623000e-01 6.94884881e-05 1.79010882e-03
8.62861500e+00 4.38666000e-01 1.60848416e-05 5.07072316e-04
8.75080100e+00 2.88043000e-01 1.96795362e-05 4.23281137e-04
8.92956200e+00 3.07290000e-01 2.10678729e-05 4.64387456e-04
9.10657300e+00 1.84038000e-01 2.75136279e-05 6.93156315e-04
9.33636600e+00 5.40739000e-01 2.84858219e-05 8.93951064e-04
9.41087500e+00 4.47025000e-01 4.01176966e-05 1.04761984e-03
